date_day,day_index,day_name,is_weekend
2026-06-01,0,Monday,false
2026-06-02,1,Tuesday,false
2026-06-03,2,Wednesday,false
2026-06-04,3,Thursday,false
2026-06-05,4,Friday,false
2026-06-06,5,Saturday,true
2026-06-07,6,Sunday,true
2026-06-08,7,Monday,false
2026-06-09,8,Tuesday,false
2026-06-10,9,Wednesday,false
2026-06-11,10,Thursday,false
2026-06-12,11,Friday,false
2026-06-13,12,Saturday,true
2026-06-14,13,Sunday,true
2026-06-15,14,Monday,false
2026-06-16,15,Tuesday,false
2026-06-17,16,Wednesday,false
2026-06-18,17,Thursday,false
2026-06-19,18,Friday,false
2026-06-20,19,Saturday,true
